timestamp,project_uuid,project_numeric_id,device,sheet,usina,modulo,tipo,equipamento_id,pressao,rpm,status_1,status_2,gps,pressao_aspersor,gps_aspersor,pressao_carretel,gps_carretel,velocidade_recolhimento,metragem_mangueira,codigo,bomba_operando,gps_valido,label,gps_aspersor_valido,gps_carretel_valido,is_ok,is_falha,pressao_num,rpm_num,pressao_aspersor_num,pressao_carretel_num,velocidade_recolhimento_num,metragem_mangueira_num,null_count,diagnosticos_corrigidos,BOMBA_OFFLINE,GPS_BOMBA_PROBLEMA,PRESSAO_BOMBA_NULA,CARRETEL_OFFLINE,ASPERSOR_OFFLINE,GPS_ASPERSOR_PROBLEMA,GPS_CARRETEL_PROBLEMA,RECOLHIMENTO_ZERADO,label_corrigido,is_falha_corrigido,is_ok_corrigido
"2026-05-21 11:28:13,000",450d15ab-7b84-482a-9f93-0d853f3daf2a,97,Device/RADCOM_2543,GERAL,USA MURILLO,MÓDULO 9,bomba,30,1.26,786,55,00000000,Null,,,,,,,,1,0,GPS_BOMBA_PROBLEMA,,,0,1,1.26,786.0,,,,,1,GPS_BOMBA_PROBLEMA,0,1,0,0,0,0,0,0,GPS_BOMBA_PROBLEMA,1,0
"2026-05-21 11:28:13,000",450d15ab-7b84-482a-9f93-0d853f3daf2a,97,Device/RADCOM_2543,GERAL,USA MURILLO,MÓDULO 9,bomba,31,1.36,0,63,00000100,-19.396859/-48.304453,,,,,,,,1,1,OK,,,1,0,1.36,0.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:28:13,000",450d15ab-7b84-482a-9f93-0d853f3daf2a,97,Device/RADCOM_2543,GERAL,USA MURILLO,MÓDULO 9,carretel,32,,,,00000011,-19.384022/-48.333589,0.15,Null,0.36,-19.384022/-48.333589,8.0,154.0,4305M00,1,1,GPS_ASPERSOR_PROBLEMA,0.0,1.0,0,1,,,0.15,0.36,8.0,154.0,1,GPS_ASPERSOR_PROBLEMA,0,0,0,0,0,1,0,0,GPS_ASPERSOR_PROBLEMA,1,0
"2026-05-21 11:28:13,000",450d15ab-7b84-482a-9f93-0d853f3daf2a,97,Device/RADCOM_2543,GERAL,USA MURILLO,MÓDULO 9,carretel,34,,,,00000011,-19.400191/-48.291686,0.04,-19.371742/-48.324144,0.5,-19.400191/-48.291686,0.0,268.0,3106M00,1,1,RECOLHIMENTO_ZERADO_COM_BOMBA_OPERANDO,1.0,1.0,0,1,,,0.04,0.5,0.0,268.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:28:13,000",450d15ab-7b84-482a-9f93-0d853f3daf2a,97,Device/RADCOM_2543,GERAL,USA MURILLO,MÓDULO 9,carretel,36,,,,00000011,-19.394020/-48.313364,0.00,-19.370402/-48.290913,0.36,-19.394020/-48.313364,1.0,164.0,4235M00,1,1,PRESSAO_ASPERSOR_SUSPEITA,1.0,1.0,0,1,,,0.0,0.36,1.0,164.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:29:13,000",6aef0d7c-a27e-4754-956f-0b57f6b1c90e,40,Device/RADCOM_4519,GERAL,YPÊ,FRENTE 1,bomba,10,1.54,700,77,00000100,Null,,,,,,,,1,0,GPS_BOMBA_PROBLEMA,,,0,1,1.54,700.0,,,,,1,GPS_BOMBA_PROBLEMA,0,1,0,0,0,0,0,0,GPS_BOMBA_PROBLEMA,1,0
"2026-05-21 11:29:13,000",6aef0d7c-a27e-4754-956f-0b57f6b1c90e,40,Device/RADCOM_4519,GERAL,YPÊ,FRENTE 1,bomba,11,1.22,0,88,00000100,Null,,,,,,,,1,0,GPS_BOMBA_PROBLEMA,,,0,1,1.22,0.0,,,,,1,GPS_BOMBA_PROBLEMA,0,1,0,0,0,0,0,0,GPS_BOMBA_PROBLEMA,1,0
"2026-05-21 11:29:13,000",6aef0d7c-a27e-4754-956f-0b57f6b1c90e,40,Device/RADCOM_4519,GERAL,YPÊ,FRENTE 1,carretel,12,,,,00000011,-19.408449/-48.331887,0.11,-19.375797/-48.333944,0.16,-19.408449/-48.331887,6.0,271.0,4723M00,1,1,OK,1.0,1.0,1,0,,,0.11,0.16,6.0,271.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:29:13,000",6aef0d7c-a27e-4754-956f-0b57f6b1c90e,40,Device/RADCOM_4519,GERAL,YPÊ,FRENTE 1,carretel,14,,,,00000011,-19.407020/-48.282017,0.00,-19.386081/-48.327508,0.29,-19.407020/-48.282017,8.0,101.0,4204M00,1,1,PRESSAO_ASPERSOR_SUSPEITA,1.0,1.0,0,1,,,0.0,0.29,8.0,101.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:29:13,000",6aef0d7c-a27e-4754-956f-0b57f6b1c90e,40,Device/RADCOM_4519,GERAL,YPÊ,FRENTE 1,carretel,16,,,,00000011,-19.391460/-48.309346,Null,Null,0.41,-19.391460/-48.309346,6.0,98.0,4708M00,1,1,ASPERSOR_OFFLINE,0.0,1.0,0,1,,,,0.41,6.0,98.0,2,ASPERSOR_OFFLINE;GPS_ASPERSOR_PROBLEMA,0,0,0,0,1,1,0,0,ASPERSOR_OFFLINE,1,0
